id,title,url,summary,date_published,source_name,category,state_codes,current_sector,importance_score,correct_sector_tier1,correct_sector_tier2,notes
136,Policy Leaders and Innovators deliberate future of Responsible Health AI as Federated Intelligence Hackathon Concludes at IIT Kanpur,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2218389,"Policy leaders and innovators gathered at IIT Kanpur to discuss the future of responsible health AI. The event coincided with the conclusion of the Federated Intelligence Hackathon, which focused on health AI. The deliberations aimed to shape the development of health AI in a responsible and innovative manner.",2026-01-25,PIB Tamil Nadu,Policies and Initiatives,"[""UP""]",,0.0,,,
148,How AI is helping researchers revive cultural heritage; Explained,https://www.etnownews.com/technology/how-ai-is-helping-researchers-revive-cultural-heritage-explained-article-153526885,"AI is aiding researchers in reviving cultural heritage through digitization efforts. In India, over 10 crore pages of historical documents are now available online via the Abhilekh Patal portal, a significant milestone in heritage preservation. This digital archive is a result of the National Archives' prioritization of digitization to make cultural heritage more accessible.",2026-01-29,ET Now Technology,Policies and Initiatives,"[""IN""]",,0.0,,,
95,"IIT-Guwahati backing Assam&#039;s AI push by teacher training, preparing textbooks: Director",https://b2b.economictimes.indiatimes.com/news/assam/iit-guwahati-backing-assams-ai-push-by-teacher-training-preparing-textbooks-director/125870595,IIT-Guwahati is supporting Assam's artificial intelligence initiative by providing teacher training and developing textbooks. The institute's director announced this effort as part of the state's AI push. This move aims to enhance AI education and awareness in Assam.,2025-12-09,ET B2B Assam,Policies and Initiatives,"[""AS""]",,0.0,,,
59,Tagbin’s Immersive Media Platform Finds Enterprise Niche In The AI Age,https://inc42.com/startups/tagbins-immersive-media-platform-finds-enterprise-niche-in-the-ai-age/,"Tagbin, an immersive technology and AI startup, has found a niche in the enterprise sector with its innovative platform. The company has worked on notable projects, including designing a virtual statue of Netaji Subhash Chandra Bose. Tagbin's platform utilizes immersive media to create engaging experiences, catering to the growing demand for interactive technologies in the enterprise space.",2026-01-16,Inc42 Startups,Policies and Initiatives,"[""DL""]",,0.0,,,
11,The AI reckoning for Indian IT: Disrupt now or decline,https://cio.economictimes.indiatimes.com/news/artificial-intelligence/harnessing-ai-for-future-success-a-call-to-action-for-indian-it-leaders/126526275,,2026-01-15,ET CIO - AI,AI Products & Applications,"[""IN""]",,10.0,,,
145,India’s AI ambition: Can the country turn potential into real-world impact?,https://cio.economictimes.indiatimes.com/news/artificial-intelligence/indias-rising-ai-power-transforming-potential-into-real-world-solutions/126670050,"India's role in global AI is expanding beyond tech talent, with the country becoming a hub for AI design and deployment in enterprises. Global Capability Centers are driving this shift, but scaling AI beyond pilots poses challenges such as data and integration. India aims to turn its AI potential into real-world impact by focusing on execution and measurable business outcomes.",2026-01-27,ET CIO - AI,Major AI Developments,"[""IN""]",,0.0,,,
77,Share your AI journey: OpenAI is spotlighting India’s breakthrough builders,https://yourstory.com/2026/01/share-your-ai-journey-openai-spotlighting-indias-breakthrough-builders,"OpenAI, in partnership with YourStory, has launched a nationwide campaign in India to discover and spotlight innovative AI builders. The initiative aims to highlight developers, students, and founders who are using OpenAI tools to create real-world impact. The campaign seeks to showcase India's most exciting AI breakthroughs and success stories.",2026-01-20,YourStory,Major AI Developments,"[""IN""]",,0.0,,,
85,India to See Up To $150 Bn AI Infrastructure Investments in 2026: Ashwini Vaishnaw,https://analyticsindiamag.com/ai-news-updates/india-to-see-up-to-150-bn-ai-infrastructure-investments-in-2026-ashwini-vaishnaw/,"India's IT minister Ashwini Vaishnaw announced the country is expected to see significant investments in AI infrastructure, potentially reaching up to $150 billion in 2026. This investment is part of India's escalated AI ambitions, as stated at the World Economic Forum. The large-scale investment aims to boost India's AI capabilities and infrastructure.",2026-01-21,Analytics India Magazine - AI News,Policies and Initiatives,"[""IN""]",,0.0,,,
118,AI-powered assistive eyewear for the visually impaired launched in Bengaluru,https://www.thehindu.com/news/cities/bangalore/ai-powered-assistive-eyewear-for-the-visually-impaired-launched-in-bengaluru/article70538345.ece,"AI-powered assistive eyewear has been launched in Bengaluru to aid the visually impaired. This innovative technology is designed to provide assistance and support to individuals with visual impairments. The launch of this eyewear marks a significant development in assistive technology, aiming to improve the daily lives of the visually impaired.",2026-01-22,The Hindu - Bangalore,AI Start-Up News,"[""KA""]",,0.0,,,
93,Global leaders &amp; top tech executives to attend AI summit,https://government.economictimes.indiatimes.com/news/technology/international-leaders-and-tech-giants-to-converge-at-indiaai-summit-2024/126249975,"Global leaders and top tech executives will attend an AI summit, with around 100 executives from tech firms and ministers from approximately 50 countries participating. Prime Minister Narendra Modi will address the event, including a leaders plenary and a CEO roundtable. The summit will bring together key figures from around the world to discuss AI.",2025-12-30,ET Government - Technology,Policies and Initiatives,"[""IN""]",,0.0,,,
33,Data to Decisions: Powering Bharat’s AI Revolution,https://cio.economictimes.indiatimes.com/powering-ai-revolution?ag=events_listing&utm_source=events_listing&utm_medium=eventListing,"A new initiative called ""Data to Decisions"" is powering India's AI revolution, particularly in Bharat. The initiative is focused on leveraging data to drive decision-making and is based in Bangalore. This effort aims to propel India's growth in the field of artificial intelligence.",2025-12-01,CIO ET - Events,Events,"[""KA""]",,0.0,,,
8,Rajasthan CM outlines AI roadmap for Rajasthan at Regional AI Impact Conference 2026,https://government.economictimes.indiatimes.com/news/policy/rajasthan-cm-unveils-ambitious-ai-strategy-at-2026-regional-conference/126376286,,2026-01-06,ET Government - Policy,AI Policy & Regulation,"[""RJ""]",,5.0,,,
156,Google rolls out AI-powered photo editing feature in India,https://telanganatoday.com/google-rolls-out-ai-powered-photo-editing-feature-in-india,"Google has launched an AI-powered photo editing feature in India, allowing users to edit images in Google Photos using voice or text prompts. The feature, powered by Gemini, supports multiple Indian languages and offers conversational editing tools. It also provides personalised editing options for users.",2026-01-28,Telangana Today - Tech,Major AI Developments,"[""TG""]",,0.0,,,
132,"IMF applauds india’s digital reforms, sees it shaping global AI",https://yourstory.com/2026/01/imf-kristalina-georgieva-praises-india-ai-growth,"The International Monetary Fund has expressed confidence in India's economic trajectory and its emerging role in artificial intelligence. The IMF has applauded India's digital reforms, recognizing their potential impact on the country's growth. India is expected to play a significant role in shaping the global AI landscape.",2026-01-23,YourStory,AI Start-Up News,"[""IN""]",,0.0,,,
144,PwC India report projects AI to unlock USD 550 billion across five sectors by 2035,https://cio.economictimes.indiatimes.com/news/artificial-intelligence/ai-to-drive-550-billion-growth-in-agriculture-education-energy-healthcare-and-manufacturing-by-2035-pwc-india-report/127596756,"PwC India's report projects AI to add $550 billion to five key sectors by 2035. The report introduces a 3A2I framework for scaling AI, focusing on access, acceptance, and assimilation, as well as implementation and institutionalization. This framework aims to unlock broader public and economic benefits from AI adoption.",2026-01-28,ET CIO - AI,Major AI Developments,"[""IN""]",,0.0,,,
58,Swiggy using genAI to streamline operations as India’s food delivery market expands,https://yourstory.com/2026/01/swiggy-genai-streamline-operations-india-food-delivery-market-expands,"Swiggy is utilizing genAI to streamline its operations amidst the growing Indian food delivery market. India's food delivery market remains largely untapped, with only 10-12% of the population having used such services. This presents a significant opportunity for expansion and growth in the market.",2026-01-20,YourStory,Major AI Developments,"[""KA""]",,0.0,,,
120,"UPC Volt to set up AI ready data centre at Telangana’s Bharat Future City; ₹5,000 crore investment over 5 years estimated",https://www.thehindu.com/news/national/telangana/upc-volt-to-set-up-ai-ready-data-centre-at-telanganas-bharat-future-city/article70537110.ece,"UPC Volt is setting up an AI-ready data centre at Telangana's Bharat Future City with an estimated investment of ₹5,000 crore over 5 years. The facility is expected to create over 3,000 jobs during construction and more than 800 jobs during operation. The data centre will be a significant addition to the region's infrastructure, driven by AI technology.",2026-01-22,The Hindu - Hyderabad,Major AI Developments,"[""TG""]",,0.0,,,
